typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"1156589804.785","1156589804.785","0","false","true",
"C","A","20220101","2022","52","2022","132","CPV","Cabo Verde","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","777","false","0","false","184641.342","169755.072","184641.342","0","false","true",
"C","A","20220101","2022","52","2022","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","136","false","0","false","403736.876","403736.876","403736.876","0","false","true",
"C","A","20220101","2022","52","2022","136","CYM","Cayman Isds","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","379362.921",,"379362.921","0","false","true",
"C","A","20220101","2022","52","2022","136","CYM","Cayman Isds","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","22.474","true","0","false",,"31637.124","31637.124","4","false","true",
"C","A","20220101","2022","52","2022","140","CAF","Central African Rep.","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","26","false","0","false","6060.609",,"6060.609","0","false","true",
"C","A","20220101","2022","52","2022","144","LKA","Sri Lanka","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","91085431.51","0","91085431.51","0","false","true",
"C","A","20220101","2022","52","2022","144","LKA","Sri Lanka","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","5554925.422","5554925.422","0","false","true",
"C","A","20220101","2022","52","2022","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0","false","41296304.754","38915916.72","41296304.754","2","false","true",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"1967871.238","1967871.238","0","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","69521024.773","true","0","false","416525198802",,"416525198802","6","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","46407887.099","true","0","false",,"154524110996","154524110996","6","false","true",
"C","A","20220101","2022","52","2022","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","412089.56","false","0","false","81662724.8","79109879.06","81662724.8","2","false","true",
"C","A","20220101","2022","52","2022","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","5","u","797339","false",,"false","0","false",,"989794.74","989794.74","0","false","true",
"C","A","20220101","2022","52","2022","174","COM","Comoros","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","159.7","true","0","false","1852.832",,"1852.832","4","false","true",
"C","A","20220101","2022","52","2022","174","COM","Comoros","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","8","kg","100","false","100","false","0","false",,"428.433","428.433","0","false","true",
"C","A","20220101","2022","52","2022","178","COG","Congo","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","48921.534","true","0","false","713382.042",,"713382.042","4","false","true",
"C","A","20220101","2022","52","2022","178","COG","Congo","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1011330.1","false","0","false",,"164453.921","164453.921","0","false","true",
"C","A","20220101","2022","52","2022","180","COD","Dem. Rep. of the Congo","M","Import","0","W00","World","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","946958.433",,"946958.433","4","false","true",
"C","A","20220101","2022","52","2022","180","COD","Dem. Rep. of the Congo","X","Export","0","W00","World","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","130.099","true","0","false",,"16544.526","16544.526","4","false","true",
"C","A","20220101","2022","52","2022","188","CRI","Costa Rica","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","312361.697","true","0","false","97563282.71",,"97563282.71","4","false","true",
"C","A","20220101","2022","52","2022","188","CRI","Costa Rica","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"60320221.09","60320221.09","0","false","true",
"C","A","20220101","2022","52","2022","191","HRV","Croatia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","143713.238","false","0","false","44764412",,"44764412","0","false","true",
"C","A","20220101","2022","52","2022","191","HRV","Croatia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","108177.639","true","0","false",,"9570143","9570143","4","false","true",
"C","A","20220101","2022","52","2022","192","CUB","Cuba","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","480749.627","false","0","false","12034895.69",,"12034895.69","2","false","true",
"C","A","20220101","2022","52","2022","192","CUB","Cuba","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5474","false","5","u","5474","false","2097.645","false","0","false",,"2240514.63","2240514.63","0","false","true",
"C","A","20220101","2022","52","2022","196","CYP","Cyprus","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10545","false","0","false","3574968.468",,"3574968.468","0","false","true",
"C","A","20220101","2022","52","2022","196","CYP","Cyprus","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","795.083","true","0","false",,"1088868.079","1088868.079","4","false","true",
"C","A","20220101","2022","52","2022","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","3593680147","3425545707","3593680147","0","false","true",
"C","A","20220101","2022","52","2022","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8197240.069","true","0","false",,"1314967729","1314967729","4","false","true",
"C","A","20220101","2022","52","2022","204","BEN","Benin","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","596094.932",,"596094.932","0","false","true",
"C","A","20220101","2022","52","2022","204","BEN","Benin","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6","false","0","false",,"410.688","410.688","0","false","true",
"C","A","20220101","2022","52","2022","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1751433.452","true","0","false","542911667.715",,"542911667.715","4","false","true",
"C","A","20220101","2022","52","2022","208","DNK","Denmark","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2755487.243","true","0","false",,"369965801.214","369965801.214","4","false","true",
"C","A","20220101","2022","52","2022","212","DMA","Dominica","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3109.485","true","0","false","46874.768",,"46874.768","4","false","true",
"C","A","20220101","2022","52","2022","212","DMA","Dominica","X","Export","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","5","false","0","false",,"711.481","711.481","0","false","true",
"C","A","20220101","2022","52","2022","214","DOM","Dominican Rep.","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0","false","110542178.648","104275953.043","110542178.648","2","false","true",
